Rank,Name,Park,Location,Supplier,Year Built,Points,Year of Rank,City,State,Country,Zip_Code,material_type,seating_type,speed,height,length,num_inversions,manufacturer,status
35,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,109,2017,Brühl,North Rhine-Westphalia,Germany,50321,Steel,Inverted,80.0,26.0,,4.0,B&M,status.operating
36,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,104,2017,Williamsburg,Virginia,United States,23185,Steel,Inverted,108.0,60.0,,6.0,B&M,status.operating
37,Medusa Steel Coaster,Six Flags Mexico,"Mexico City, Mexico",RMC,2014,98,2017,Mexico City,Distrito Federal,Mexico,14200,Hybrid,Sit Down,93.0,36.0,910.0,3.0,RMC,status.operating
38,Quimera,La Feria,"Mexico City, Mexico",Schwarzkopf,2007,93,2017,Mexico City,Distrito Federal,Mexico,72320,Steel,Sit Down,85.0,34.0,1050.0,3.0,Schwarzkopf,status.operating
39,Thunderbird,Holiday World,"Santa Claus, Ind.",B&M,2015,91,2017,Santa Claus,Indiana,United States,47579,Steel,Wing,100.0,43.0,925.0,4.0,B&M,status.operating
40,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarz,1987,84,2017,Gothenburg,Västra Götalands,Sweden,402 22,Steel,Sit Down,80.0,45.0,1548.0,0.0,Schwarzkopf,status.operating
41,Goliath,La Ronde,"Montreal, Quebec, Canada",B&M,2006,78,2017,Montreal,Quebec,Canada,H3C6A3,Steel,Sit Down,110.0,53.0,1231.0,0.0,B&M,status.operating
41,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,78,2017,Tampa,Florida,United States,33612,Steel,Sit Down,96.0,43.0,1210.0,7.0,B&M,status.operating
41,Lightning Run,Kentucky Kingdom,"Louisville, Ky.",Chance,2014,78,2017,Louisville,Kentucky,United States,40209,Steel,Sit Down,90.0,31.0,765.0,0.0,Chance Rides,status.operating
44,Steel Force,Dorney Park,"Allentown, Pa.",Morgan,1997,76,2017,Allentown,Pennsylvania,United States,18104,Steel,Sit Down,120.0,61.0,1706.0,0.0,Morgan,status.operating
45,Euro-Mir,Europa-Park,"Rust, Germany",Mack,1997,72,2017,Rust,Baden-Württemberg,Germany,77977,Steel,Spinning,80.0,28.0,980.0,0.0,Mack,status.operating
46,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978,68,2017,Arlington,Texas,United States,76011,Steel,Sit Down,96.0,35.0,1097.0,2.0,Schwarzkopf,status.operating
46,Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976,68,2017,Gurnee,Illinois,United States,60031,Steel,Sit Down,68.0,21.0,945.0,0.0,Schwarzkopf,status.operating
48,Griffon,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,2007,62,2017,Williamsburg,Virginia,United States,23185,Steel,Floorless,120.0,62.0,950.0,2.0,B&M,status.operating
49,Expedition Everest,Disney’s Animal Kingdom,"Orlando, Fla.",Vekoma,2006,61,2017,Lake Buena Vista,Florida,United States,32830,Steel,Sit Down,80.0,34.0,1341.0,0.0,Vekoma,status.operating
50,Full Throttle,Six Flags Magic Mountain,"Valencia, Calif.",Premier,2013,59,2017,Valencia,California,United States,91355,Steel,Sit Down,112.0,48.0,670.0,2.0,Premier Rides,status.operating
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,1222,2018,Charlotte,North Carolina,United States,28273,Steel,Sit Down,153.0,99.0,2012.0,0.0,B&M,status.operating
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1156,2018,Sandusky,Ohio,United States,44870,Steel,Sit Down,150.0,94.0,2010.0,0.0,Intamin,status.operating
3,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain,2018,829,2018,Sandusky,Ohio,United States,44870,Hybrid,Sit Down,119.0,62.0,1750.0,4.0,RMC,status.operating
4,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,540,2018,Hassloch,Rhineland-Palatinate,Germany,67454,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,status.operating
5,Superman: The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,535,2018,Agawam,Massachusetts,United States,01001,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,status.operating
6,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,522,2018,Williamsburg,Virginia,United States,23185,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,status.operating
