Rank,Name,Park,Location,Supplier,Year Built,Points,Year of Rank,City,State,Country,Zip_Code,material_type,seating_type,speed,height,length,num_inversions,manufacturer,status
16,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,221,2017,Gothenburg,Västra Götalands,Sweden,402 22,Wooden,Sit Down,90.0,36.0,1070.0,0.0,Intamin,status.operating
17,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,220,2017,West Mifflin,Pennsylvania,United States,15122,Steel,Sit Down,89.0,29.0,880.0,0.0,ACE Coaster Classic,status.operating
18,GhostRider,Knott’s Berry Farm,"Buena Vista, Calif.",Custom Coasters,1998,219,2017,Buena Park,California,United States,90620,Wooden,Sit Down,90.0,36.0,1382.0,0.0,GCI,status.operating
18,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,219,2017,Sevenum,Limburg,Netherlands,5975,Wooden,Sit Down,87.0,32.0,1077.0,0.0,GCI,status.operating
18,White Lightning,Fun Spot America,"Orlando, Fla.",Great Coasters Int.,2013,219,2017,Orlando,Florida,United States,32819,Wooden,Sit Down,75.0,23.0,600.0,0.0,GCI,status.operating
21,Rampage,Alabama Splash Adventure,"Bessemer, Ala.",Custom Coasters,1998,218,2017,Bessemer,Alabama,United States,35022,Wooden,Sit Down,90.0,37.0,1067.0,0.0,CCI,status.operating
22,Cyclone,Coney Island,"Brooklyn, N.Y.",Keenan/Baker,1927,217,2017,Brooklyn,New York,United States,11224,Wooden,Sit Down,97.0,26.0,869.0,0.0,na,status.operating
23,Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,1995,214,2017,Santa Claus,Indiana,United States,47579,Wooden,Sit Down,77.0,33.0,832.0,0.0,CCI,status.operating
24,Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,2000,198,2017,Santa Claus,Indiana,United States,47579,Wooden,Sit Down,93.0,35.0,1232.0,0.0,CCI,status.operating
25,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",Custom Coasters,1998,197,2017,Muskegon,Michigan,United States,49445,Steel,Sit Down,92.0,37.0,1641.0,0.0,CCI,status.operating
26,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC/Miller,1920,188,2017,West Mifflin,Pennsylvania,United States,15122,Steel,Sit Down,72.0,21.0,650.0,0.0,ACE Coaster Classic,status.operating
27,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,186,2017,Kansas City,Missouri,United States,64161,Wooden,Sit Down,82.0,31.0,937.0,0.0,GCI,status.operating
28,Boss,Six Flags St. Louis,"Eureka, Mo.",Custom Coasters,2000,183,2017,Eureka,Missouri,United States,63025,Wooden,Sit Down,106.0,46.0,1540.0,0.0,CCI,status.operating
29,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain,2016,177,2017,Kolmården,Östergötlands,Sweden,618 92,Wooden,Sit Down,113.0,57.0,1300.0,3.0,RMC,status.operating
30,Cú Chulainn,Tayto Park,"Ashbourne, Ireland",Gravity Group,2015,168,2017,Ashbourne,Meath,Ireland,A84 EA02,Wooden,Sit Down,90.0,32.0,1094.0,0.0,Gravity Group,status.operating
31,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,167,2017,Santa Cruz,California,United States,95060,Steel,Sit Down,89.0,21.0,805.0,0.0,na,status.operating
32,Comet,The Great Escape,"Lake George, N.Y.",PTC/Schmeck,1994,157,2017,Queensbury,New York,United States,12804,Wooden,Sit Down,89.0,29.0,1279.0,0.0,Philadelphia Toboggan Coaster,status.operating
33,Switchback,ZDT’s,"Seguin, Texas",Gravity Group,2015,139,2017,Seguin,Texas,United States,78155,Wooden,Sit Down,66.0,20.0,365.0,,Gravity Group,status.operating
34,Colossos,Heide Park,"Soltau, Germany",Intamin,2001,129,2017,Soltau,Lower Saxony,Germany,29614,Wooden,Sit Down,110.0,51.0,1500.0,0.0,Intamin,status.operating
35,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,119,2017,Elysburg,Pennsylvania,United States,17824,Wooden,Sit Down,83.0,31.0,1189.0,0.0,Philadelphia Toboggan Coaster,status.operating
36,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, England","Wright, Blackpool",1958,112,2017,Blackpool,England,United Kingdom,FY4 1EZ,Wooden,Sit Down,,,390.0,0.0,na,status.closed.definitely
37,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel,1964,109,2017,Conneaut Lake,Pennsylvania,United States,16316,Wooden,na,,,883.0,0.0,na,status.operating
38,Hades 360,Mt. Olympus Theme Park,"Wisconsin Dells, Wis.",Gravity Group,1995,107,2017,Wisconsin Dells,Wisconsin,United States,53965,Hybrid,Sit Down,113.0,42.0,1441.0,0.0,Gravity Group,status.operating
39,Playland Wooden Coaster,Playland,"Vancouver, B.C., Canada",Phare,1958,98,2017,Rye,New York,United States,10580,,,,,,,,
40,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2009,96,2017,Eureka,Missouri,United States,63025,Wooden,Sit Down,77.0,25.0,827.0,0.0,GCI,status.operating
41,El Toro,Freizeitpark Plohn,"Legendfeld, Germany",Great Coasters Int.,2006,92,2017,Reichenbach/Vogtland,Saxony,Germany,08485,Wooden,Sit Down,75.0,28.0,750.0,0.0,GCI,status.operating
42,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,1964,87,2017,Sandusky,Ohio,United States,44870,Wooden,Sit Down,64.0,24.0,780.0,0.0,Philadelphia Toboggan Coaster,status.operating
43,Screamin’ Eagle,Six Flags St. Louis,"Eureka, Mo.",PTC/Allen,1976,86,2017,Eureka,Missouri,United States,63025,Wooden,Sit Down,100.0,34.0,1180.0,0.0,Philadelphia Toboggan Coaster,status.operating
44,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,84,2017,Elysburg,Pennsylvania,United States,17824,Wooden,Bobsleigh,39.0,15.0,396.0,0.0,Knoebels,status.operating
45,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",Gravity Group,2011,82,2017,Middlebury,Connecticut,United States,06762,Wooden,Sit Down,56.0,11.0,378.0,0.0,Gravity Group,status.operating
46,Grizzly,Kings Dominion,"Doswell, Va.",,1982,81,2017,Doswell,Virginia,United States,23047,Wooden,Sit Down,,27.0,960.0,0.0,na,status.operating
47,Tremors,Silverwood,"Athol, Idaho",Custom Coasters,1999,80,2017,Athol,Idaho,United States,83801,Wooden,Sit Down,96.0,31.0,915.0,0.0,CCI,status.operating
48,Grand National,Blackpool Pleasure Beach,"Blackpool, England",Paige,1935,75,2017,Blackpool,England,United Kingdom,FY4 1EZ,Steel,Sit Down,64.0,19.0,1006.0,0.0,Charles Paige,status.operating
49,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",Great Coasters Int.,2006,71,2017,Bowling Green,Kentucky,United States,42101,Wooden,Sit Down,77.0,27.0,862.0,0.0,GCI,status.operating
50,Twister,Gröna Lund,"Stockholm, Sweden",Gravity Group,2011,66,2017,Stockholm,Stockholms,Sweden,115 21,Wooden,Sit Down,61.0,15.0,480.0,0.0,Gravity Group,status.operating
1,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",PTC/Schmeck-Dinn,1985,1330,2018,Elysburg,Pennsylvania,United States,17824,Wooden,Sit Down,72.0,24.0,975.0,0.0,Philadelphia Toboggan Coaster,status.operating
2,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,1197,2018,Jackson,New Jersey,United States,08527,Wooden,Sit Down,113.0,55.0,1341.0,0.0,Intamin,status.operating
3,Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,1086,2018,Santa Claus,Indiana,United States,47579,Wooden,Sit Down,108.0,49.0,1963.0,0.0,Gravity Group,status.operating
4,Boulder Dash,Lake Compounce,"Bristol, Conn.",Custom Coasters,2000,982,2018,Bristol,Connecticut,United States,06010,Wooden,Sit Down,97.0,35.0,1440.0,0.0,CCI,status.operating
5,Beast,Kings Island,"Mason, Ohio",KECO,1979,781,2018,Mason,Ohio,United States,45040,Wooden,Sit Down,104.0,34.0,2243.0,0.0,Charlie Dinn,status.operating
6,Lightning Rod,Dollywood,"Pigeon Forge, Tenn.",Rocky Mountain,2016,691,2018,Pigeon Forge,Tennessee,United States,37863,Wooden,Sit Down,118.0,50.0,1158.0,0.0,RMC,status.operating
7,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,573,2018,Branson,Missouri,United States,65616,Wooden,Sit Down,110.0,50.0,,2.0,RMC,status.operating
8,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,560,2018,Erie,Pennsylvania,United States,16505,Hybrid,Sit Down,91.0,24.0,884.0,0.0,Gravity Group,status.operating
9,Gold Striker,California’s Great America,"Santa Clara, Calif.",Great Coasters Int.,2013,497,2018,Santa Clara,California,United States,95054,Wooden,Sit Down,87.0,33.0,975.0,0.0,GCI,status.operating
10,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,477,2018,Pigeon Forge,Tennessee,United States,37863,Wooden,Sit Down,89.0,31.0,985.0,0.0,GCI,status.operating
11,Mystic Timbers,Kings Island,"Mason, Ohio",Great Coasters Int.,2017,465,2018,Mason,Ohio,United States,45040,Wooden,Sit Down,85.0,33.0,995.0,0.0,GCI,status.operating
12,Lightning Racer,Hersheypark,"Hershey, Pa.",Great Coasters Int.,2000,329,2018,Hershey,Pennsylvania,United States,17033,Wooden,Sit Down,82.0,27.0,1036.0,0.0,GCI,status.operating
13,GhostRider,Knott’s Berry Farm,"Buena Park, Calif.",Custom Coasters,1998,307,2018,Buena Park,California,United States,90620,Wooden,Sit Down,90.0,36.0,1382.0,0.0,GCI,status.operating
14,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,289,2018,Gothenburg,Västra Götalands,Sweden,402 22,Wooden,Sit Down,90.0,36.0,1070.0,0.0,Intamin,status.operating
15,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,260,2018,West Mifflin,Pennsylvania,United States,15122,Steel,Sit Down,89.0,29.0,880.0,0.0,ACE Coaster Classic,status.operating
16,Wodan,Europa-Park,"Rust, Germany",Great Coasters Int.,2012,236,2018,Rust,Baden-Württemberg,Germany,77977,Wooden,Sit Down,100.0,35.0,1050.0,0.0,GCI,status.operating
17,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain,2016,232,2018,Kolmården,Östergötlands,Sweden,618 92,Wooden,Sit Down,113.0,57.0,1300.0,3.0,RMC,status.operating
18,Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,1995,229,2018,Santa Claus,Indiana,United States,47579,Wooden,Sit Down,77.0,33.0,832.0,0.0,CCI,status.operating
19,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,215,2018,Gurnee,Illinois,United States,60031,Wooden,Sit Down,115.0,55.0,950.0,2.0,RMC,status.operating
20,Jack Rabbit,Kennywood,"West Mifflin, Pa.",Miller,1920,211,2018,West Mifflin,Pennsylvania,United States,15122,Steel,Sit Down,72.0,21.0,650.0,0.0,ACE Coaster Classic,status.operating
21,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,206,2018,Santa Cruz,California,United States,95060,Steel,Sit Down,89.0,21.0,805.0,0.0,na,status.operating
21,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",Custom Coasters,1998,206,2018,Muskegon,Michigan,United States,49445,Steel,Sit Down,92.0,37.0,1641.0,0.0,CCI,status.operating
23,Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,2000,201,2018,Santa Claus,Indiana,United States,47579,Wooden,Sit Down,93.0,35.0,1232.0,0.0,CCI,status.operating
24,White Lightning,Fun Spot America,"Orlando, Fla.",Great Coasters Int.,2013,196,2018,Orlando,Florida,United States,32819,Wooden,Sit Down,75.0,23.0,600.0,0.0,GCI,status.operating
25,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,183,2018,Sevenum,Limburg,Netherlands,5975,Wooden,Sit Down,87.0,32.0,1077.0,0.0,GCI,status.operating
26,Renegade,Valleyfair,"Shakopee, Minn.",Great Coasters Int.,2007,182,2018,Shakopee,Minnesota,United States,55379,Wooden,Sit Down,,32.0,950.0,0.0,GCI,status.operating
27,Cú Chulainn,Tayto Park,"Ashbourne, Ireland",Gravity Group,2015,177,2018,Ashbourne,Meath,Ireland,A84 EA02,Wooden,Sit Down,90.0,32.0,1094.0,0.0,Gravity Group,status.operating
28,Colossos,Heide Park,"Soltau, Germany",Intamin,2001,171,2018,Soltau,Lower Saxony,Germany,29614,Wooden,Sit Down,110.0,51.0,1500.0,0.0,Intamin,status.operating
29,Cyclone,Coney Island,"Brooklyn, N.Y.",Keenan/Baker,1927,169,2018,Brooklyn,New York,United States,11224,Wooden,Sit Down,97.0,26.0,869.0,0.0,na,status.operating
30,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,165,2018,Kansas City,Missouri,United States,64161,Wooden,Sit Down,82.0,31.0,937.0,0.0,GCI,status.operating
30,Rampage,Alabama Splash Adventure,"Bessemer, Ala.",Custom Coasters,1998,165,2018,Bessemer,Alabama,United States,35022,Wooden,Sit Down,90.0,37.0,1067.0,0.0,CCI,status.operating
32,Comet,The Great Escape,"Lake George, N.Y.",PTC/Schmeck,1994,164,2018,Queensbury,New York,United States,12804,Wooden,Sit Down,89.0,29.0,1279.0,0.0,Philadelphia Toboggan Coaster,status.operating
33,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/Gravity Group,2007,157,2018,Kemah,Texas,United States,77565,Wooden,Sit Down,82.0,29.0,986.0,0.0,Gravity Group,status.operating
34,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,148,2018,Elysburg,Pennsylvania,United States,17824,Wooden,Bobsleigh,39.0,15.0,396.0,0.0,Knoebels,status.operating
35,Rutschebanan,Tivoli Gardens,"Copenhagen, Denmark",L.A. Thompson,1914,135,2018,Copenhagen,Region Hovedstaden,Denmark,1630,Wooden,Sit Down,50.0,13.0,720.0,0.0,L.A. Thompson Scenic Railway,status.operating
36,Switchback,ZDT’s,"Seguin, Texas",Gravity Group,2015,130,2018,Seguin,Texas,United States,78155,Wooden,Sit Down,66.0,20.0,365.0,,Gravity Group,status.operating
37,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel/NAD,1938,118,2018,Conneaut Lake,Pennsylvania,United States,16316,Wooden,na,,,883.0,0.0,na,status.operating
38,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2008,117,2018,Eureka,Missouri,United States,63025,Wooden,Sit Down,77.0,25.0,827.0,0.0,GCI,status.operating
38,Screamin’ Eagle,Six Flags St. Louis,"Eureka, Mo.",Allen/PTC,1976,117,2018,Eureka,Missouri,United States,63025,Wooden,Sit Down,100.0,34.0,1180.0,0.0,Philadelphia Toboggan Coaster,status.operating
40,Grizzly,Kings Dominion,"Doswell, Va.",Summers-KECO,1982,115,2018,Doswell,Virginia,United States,23047,Wooden,Sit Down,,27.0,960.0,0.0,na,status.operating
41,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,1964,109,2018,Sandusky,Ohio,United States,44870,Wooden,Sit Down,64.0,24.0,780.0,0.0,Philadelphia Toboggan Coaster,status.operating
42,Playland Wooden Coaster,PNE Playland,"Vancouver, B.C., Canada",Phare,1959,107,2018,Vancouver,British Columbia,Canada,V5K 5J1,,,,,,,,
43,Boss,Six Flags St. Louis,"Eureka, Mo.",Custom Coasters,2000,106,2018,Eureka,Missouri,United States,63025,Wooden,Sit Down,106.0,46.0,1540.0,0.0,CCI,status.operating
44,Wild One,Six Flags Great America,"Upper Marlboro, Md.",PTC/Miller/Dinn,1986,98,2018,Gurnee,Illinois,United States,60031,Steel,Sit Down,85.0,30.0,1219.0,0.0,John Miller,status.operating
45,T Express,Everland,"Yonjin-si, South Korea",Intamin,2008,87,2018,Seoul,Seoul,South Korea,17023,Wooden,Sit Down,104.0,56.0,1641.0,0.0,Intamin,status.operating
46,Megafobia,Oakwood Leisure Park,"Pembrookshire, Wales",Custom Coasters,1996,84,2018,Pembroke,Wales,United Kingdom,SA67 8DE,Wooden,Sit Down,77.0,26.0,901.0,0.0,CCI,status.operating
47,Hades 360,Mt. Olympus Theme Park,"Wisconsin Dells, Wis.",Gravity Group,2005,80,2018,Wisconsin Dells,Wisconsin,United States,53965,Hybrid,Sit Down,113.0,42.0,1441.0,0.0,Gravity Group,status.operating
48,Mine Blower,Fun Spot America,"Kissimmee, Fla.",Gravity Group,2017,79,2018,Orlando,Florida,United States,32819,Wooden,Sit Down,78.0,25.0,698.0,1.0,Gravity Group,status.operating
49,Wooden Warrior,Quassy Amusement Park,"Meddlebury, Conn.",Gravity Group,2011,77,2018,Middlebury,Connecticut,United States,06762,Wooden,Sit Down,56.0,11.0,378.0,0.0,Gravity Group,status.operating
50,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,75,2018,Elysburg,Pennsylvania,United States,17824,Wooden,Sit Down,83.0,31.0,1189.0,0.0,Philadelphia Toboggan Coaster,status.operating
